category,confidence,reasoning,txn_id,description
Cloud Infrastructure,0.84,"Description references cloud compute/storage terms (cloud, cdn).",TXN-10208,CloudFront CDN data transfer - video streaming Q2 spike
Meals & Catering,0.84,"Description references food/catering context (lunch, catering).",TXN-10209,Board meeting catering - 10 directors working lunch
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10210,SEO agency retainer - 6 months content and technical
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-10211,Flight BOM-CDG for Paris design conference - 1 pax
Travel & Transport,0.55,Description references travel or transport (flight).,PROC-10212,Flight BOM-CDG for Paris design conference - 1 pax
Travel & Transport,0.84,"Description references travel or transport (flight, bus).",TXN-10215,Flight HYD-JFK for New York investor roadshow - 2 pax business
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,TXN-10217,BillDesk payment gateway annual maintenance fee
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,INV-10218,BillDesk payment gateway annual maintenance fee
Meals & Catering,0.84,"Description references food/catering context (catering, tea).",TXN-10220,Sales kickoff catering day 1 - 85 team members
Meals & Catering,0.84,"Description references food/catering context (catering, tea).",TXN-10221,Sales kickoff catering day 1 - 85 team members
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (renewal).,TXN-10222,Health insurance group policy annual premium renewal
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (subscription).,TXN-10223,HRMS annual subscription - employee self-service 800 users
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10224,Hugging Face Enterprise Hub annual - model hosting
Finance & Banking,0.55,Description references financial services or payment processing (razorpay).,TXN-10225,Refund - duplicate payment reversed by vendor Razorpay
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-10228,Cloud compute Q3 reserved capacity - multi-region failover setup
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10230,JW Marriott Bengaluru - 2 nights leadership offsite Q2
Travel & Transport,0.95,"Description references travel or transport (cab, bus, airport, travel).",TXN-10231,Airport cab drop - personal vacation travel to Goa non-business
Meals & Catering,0.84,"Description references food/catering context (catering, tea).",TXN-10233,Sales kickoff catering day 2 - 85 team members
Meals & Catering,0.55,Description references food/catering context (dinner).,TXN-10234,Partner summit dinner - 45 external attendees gala dinner
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10236,CA firm statutory audit fees - FY2025-26
Hardware & Equipment,0.55,Description references physical hardware or equipment (laptop).,TXN-10237,Dell XPS 15 - data scientist laptop 3 units
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10238,Route53 DNS annual - 45 hosted zones enterprise account
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-10239,Grammarly Business annual - writing assistant 30 seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10240,EKS cluster management fee - 12 node pools microservices
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (figma).,TXN-10242,Figma Organization plan annual - design team 40 seats
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (adobe).,TXN-10243,Adobe Sign enterprise annual - 500 transaction pack
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (adobe).,TXN-10244,Adobe Sign enterprise annual - 500 transaction pack
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10245,JW Marriott Bengaluru - 2 nights leadership offsite Q2
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10246,SEO agency retainer - 6 months content and technical
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (license).,TXN-10247,CRM enterprise license Q2 - APAC region expansion 300 users
Personal Expense,0.55,Description contains personal-use indicators (personal).,TXN-10250,Personal medical consultation - non-work-related
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (figma).,TXN-10251,Figma Organization plan annual - design team 40 seats
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-10252,Personal Swiggy order - home delivery non-business expense
Meals & Catering,0.84,"Description references food/catering context (dinner, tea).",TXN-10253,All-hands team dinner Q1 wrap-up event 80 pax
Hardware & Equipment,0.55,Description references physical hardware or equipment (chair).,TXN-10254,Herman Miller Aeron chairs - 10 units ergonomic upgrade
Meals & Catering,0.55,Description references food/catering context (catering).,PMT-10255,Catering for Q1 product roadmap planning workshop - 120 pax
Personal Expense,0.84,"Description contains personal-use indicators (personal, gym).",TXN-10256,Gym membership personal - Cult.fit annual plan
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-10257,MacBook Air M2 - PM and design team batch 8 units
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10258,Tax advisory - transfer pricing documentation annual
Personal Expense,0.55,Description contains personal-use indicators (personal).,TXN-10259,Personal medical consultation - non-work-related
Finance & Banking,0.55,Description references financial services or payment processing (gateway).,TXN-10260,Payment gateway monthly transaction processing fees - April cycle
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (slack, subscription).",PROC-10263,Refund - subscription downgrade credit Slack Business to Pro
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (subscription).,TXN-10264,HRMS annual subscription - employee self-service 800 users
Finance & Banking,0.55,Description references financial services or payment processing (gateway).,TXN-10266,Payment gateway monthly transaction processing fees - April cycle
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10267,ESOP valuation report - grant price board approval
Meals & Catering,0.84,"Description references food/catering context (lunch, catering).",TXN-10268,Board meeting catering - 10 directors working lunch
Travel & Transport,0.55,Description references travel or transport (cab).,TXN-10269,Outstation cab DEL-NCR client visit - full day rental
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (subscription).,TXN-10270,HRMS annual subscription - employee self-service 800 users
Personal Expense,0.66,"Description contains personal-use indicators (personal, amazon prime).",TXN-10271,Personal Amazon Prime annual renewal - home account
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (aws).,TXN-10272,AWS Solutions Architect external training - batch 12 engineers
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10274,Cisco IP phones - 30 units new office floor expansion
Meals & Catering,0.55,Description references food/catering context (dinner).,TXN-10275,Partner summit dinner - 45 external attendees gala dinner
Travel & Transport,0.55,Description references travel or transport (ola).,TXN-10276,ITC Grand Chola Chennai - 4 nights client summit stay
Travel & Transport,0.55,Description references travel or transport (train).,TXN-10277,NVIDIA RTX 4090 - ML training workstation single build
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (subscription, creative cloud).",TXN-10279,Creative Cloud team subscription - invoice pending CFO approval
Cloud Infrastructure,0.95,"Description references cloud compute/storage terms (ec2, aws, lambda).",TXN-10280,AWS Lambda + EC2 reserved instances 1-year commitment - prod
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (aws).,TXN-10281,AWS Solutions Architect external training - batch 12 engineers
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10282,Tax advisory - transfer pricing documentation annual
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10283,LinkedIn Campaign Manager - B2B lead gen Q2
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10284,Okta Workflows add-on annual - automation tier
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (license).,TXN-10285,Udemy Business annual license - 100 seat L&D platform
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,TXN-10286,BillDesk payment gateway annual maintenance fee
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10287,Taj Lands End Mumbai - 2 nights partner event accommodation
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10288,
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10289,ServiceNow ITSM Professional annual - 500 user tier
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-10290,Cloud compute Q4 spot instance burst - ML training workloads
Finance & Banking,0.55,Description references financial services or payment processing (razorpay).,TXN-10291,Refund - duplicate payment reversed by vendor Razorpay
Personal Expense,0.55,Description contains personal-use indicators (personal).,TXN-10293,Personal medical consultation - non-work-related
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10295,Anthropic API credits - Claude Sonnet production batch
Personal Expense,0.84,"Description contains personal-use indicators (personal, gym).",TXN-10296,Gym membership personal - Cult.fit annual plan
Cloud Infrastructure,0.84,"Description references cloud compute/storage terms (cloud, cdn).",TXN-10297,CloudFront CDN data transfer - video streaming Q2 spike
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (notion).,TXN-10298,Notion Enterprise annual - knowledge management 150 seats
Finance & Banking,0.55,Description references financial services or payment processing (stripe).,TXN-10299,Stripe processing fees - monthly statement April
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (ec2).,TXN-10300,EC2 reserved instance commitment - 1yr term prod fleet upgrade
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-10301,Flight BOM-CDG for Paris design conference - 1 pax
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10302,MacBook Pro M3 Max 14in - engineer workstation batch 5 units
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-10304,Flight MAA-SIN for APAC sales conference - 4 pax economy
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-10305,Loom Business annual - async video 60 seats
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (figma).,TXN-10306,Figma Organization plan annual - design team 40 seats
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (slack, subscription).",TXN-10307,Refund - subscription downgrade credit Slack Business to Pro
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10308,Hyatt Regency Delhi - 5 nights annual board meeting
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (server).,TXN-10310,Tableau Desktop + Server annual - 15 creator seats
Travel & Transport,0.55,Description references travel or transport (cab).,TXN-10311,Corporate cab account monthly - engineering late-night cabs May
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10312,Legal retainer - shareholder agreement and term sheet review
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-10313,Cloud compute Q4 spot instance burst - ML training workloads
SaaS Subscriptions,0.84,"Description references a known SaaS product or subscription term (zoom, license).",TXN-10315,Zoom Events add-on webinar license 1000 attendees - annual
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-10316,Fivetran Business annual - 25 connector ELT pipeline
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (subscription, creative cloud).",TXN-10317,Creative Cloud team subscription - invoice pending CFO approval
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10320,Hyatt Regency Delhi - 5 nights annual board meeting
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (subscription, creative cloud).",TXN-10323,Creative Cloud team subscription - invoice pending CFO approval
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10325,Town hall snacks and beverages - 200 employees all-hands
Personal Expense,0.55,Description contains personal-use indicators (personal).,TXN-10328,Personal Airtel mobile recharge - home number
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,TXN-10329,BillDesk payment gateway annual maintenance fee
Travel & Transport,0.66,"Description references travel or transport (flight, travel).",TXN-10331,Spouse flight ticket - accompanied personal travel
Hardware & Equipment,0.84,"Description references physical hardware or equipment (desk, chair).",TXN-10333,Office furniture - 15 ergonomic chairs and 5 standing desks
Meals & Catering,0.84,"Description references food/catering context (lunch, tea).",TXN-10334,Team lunch - product sprint retrospective 15 pax
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-10336,Flight BLR-DEL return - Q3 leadership offsite 1 pax
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-10337,PagerDuty Business annual - on-call management 30 users
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (license).,TXN-10338,Udemy Business annual license - 100 seat L&D platform
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-10339,Grammarly Business annual - writing assistant 30 seats
Travel & Transport,0.55,Description references travel or transport (cab).,PROC-10340,Corporate cab account monthly - engineering late-night cabs April
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-10341,Tableau Creator Cloud annual - analytics team 12 seats
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-10342,Personal Myntra purchase - clothing item non-business
Finance & Banking,0.55,Description references financial services or payment processing (razorpay).,TXN-10343,Razorpay settlement reconciliation charges - Q2
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-10344,Conrad Bengaluru - 3 nights executive team stay
Personal Expense,0.55,Description contains personal-use indicators (personal).,TXN-10345,Personal medical consultation - non-work-related
Cloud Infrastructure,0.84,"Description references cloud compute/storage terms (cloud, cdn).",TXN-10346,Cloudflare Enterprise DDoS annual - production CDN
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,TXN-10348,BillDesk payment gateway annual maintenance fee
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-10349,Cloud compute Q3 reserved capacity - multi-region failover setup
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-10350,Flight DEL-NRT for Tokyo strategic partnership meeting - 2 pax
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-10351,Bulk flight bookings Q3 annual offsite - 40 tickets BOM-GOI
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (adobe, creative cloud).",TXN-10352,Adobe Creative Cloud All Apps annual - 20 seats
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,CLM-10353,Standing desk Flexispot E7 - 5 units health initiative
Meals & Catering,0.55,Description references food/catering context (catering).,TXN-10354,Catering for Q3 OKR setting workshop - 80 pax
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (server).,TXN-10355,Tableau Desktop + Server annual - 15 creator seats
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (figma).,TXN-10356,Figma Enterprise plan annual - 80 cross-functional seats
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (notion).,TXN-10357,Notion Enterprise annual - knowledge management 150 seats
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (gcp).,TXN-10360,GCP BigQuery on-demand - analytics team query charges
Finance & Banking,0.55,Description references financial services or payment processing (forex).,TXN-10361,FEMA compliance advisory - cross-border forex transactions
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10363,Taj Lands End Mumbai - 2 nights partner event accommodation
Travel & Transport,0.84,"Description references travel or transport (flight, bus).",TXN-10364,Flight BLR-SIN for Singapore vendor summit - 2 pax business class
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10365,Hyatt Regency Delhi - 5 nights annual board meeting
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-10366,DocuSign Business Pro annual - 500 envelope pack
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-10367,Splunk Cloud annual - SIEM 20GB per day ingest
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (figma).,TXN-10368,Figma Organization plan annual - design team 40 seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10369,Anthropic API credits - Claude Sonnet production batch
Personal Expense,0.84,"Description contains personal-use indicators (personal, gym).",TXN-10370,Gym membership personal - Cult.fit annual plan
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10371,IP filing - 3 patent applications technology division
Finance & Banking,0.55,Description references financial services or payment processing (stripe).,TXN-10372,Stripe processing fees - monthly statement May
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (adobe).,TXN-10373,Adobe Sign e-signature pack - 200 contract credits annual plan
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10374,Hyatt Regency Delhi - 5 nights annual board meeting
Cloud Infrastructure,0.84,"Description references cloud compute/storage terms (cloud, cdn).",TXN-10375,Cloudflare Enterprise DDoS annual - production CDN
Meals & Catering,0.55,Description references food/catering context (tea).,TXN-10376,Lenovo ThinkPad X1 Carbon - PM team 4 units
Meals & Catering,0.55,Description references food/catering context (catering).,TXN-10377,Catering for Q3 OKR setting workshop - 80 pax
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10378,Trademark registration - 5 classes brand protection
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (aws).,EXP-10379,AWS WAF rules monthly - bot protection production APIs
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-10380,DocuSign Business Pro annual - 500 envelope pack
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (slack, subscription).",TXN-10382,Refund - subscription downgrade credit Slack Business to Pro
Personal Expense,0.66,"Description contains personal-use indicators (personal, amazon prime).",TXN-10383,Personal Amazon Prime annual renewal - home account
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (notion).,PROC-10384,Notion Enterprise annual - knowledge management 150 seats
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-10385,Cloudflare Teams Zero Trust annual - 500 user pack
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-10386,Bulk flight bookings annual sales kickoff - 30 tickets DEL-BLR
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (subscription).,TXN-10387,Workday HCM annual subscription - 800 employee org
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,TXN-10388,Zendesk Suite Professional annual - 40 agent seats
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (renewal).,TXN-10390,Health insurance group policy annual premium renewal
Travel & Transport,0.66,"Description references travel or transport (flight, travel).",TXN-10391,Spouse flight ticket - accompanied personal travel
Meals & Catering,0.55,Description references food/catering context (dinner).,TXN-10392,Investor roadshow dinner - 6 guests fine dining
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-10394,Bulk flight bookings Q2 team offsite Bengaluru - 25 tickets BLR-DEL
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10396,Leela Ambience Gurugram - 4 nights extended leadership stay
Travel & Transport,0.84,"Description references travel or transport (flight, bus).",TXN-10398,Flight BLR-SIN for Singapore vendor summit - 2 pax business class
Personal Expense,0.66,"Description contains personal-use indicators (personal, amazon prime).",TXN-10399,Personal Amazon Prime annual renewal - home account
Meals & Catering,0.84,"Description references food/catering context (lunch, tea).",INV-10400,Team lunch - product sprint retrospective 15 pax
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (adobe).,TXN-10401,Adobe Sign enterprise annual - 500 transaction pack
SaaS Subscriptions,0.84,"Description references a known SaaS product or subscription term (zoom, renewal).",TXN-10402,Zoom Workplace Pro annual renewal - 500 seats
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (figma).,TXN-10404,Figma Enterprise plan annual - 80 cross-functional seats
Travel & Transport,0.84,"Description references travel or transport (flight, bus).",TXN-10406,Flight BOM-LHR for London board meeting - 1 pax business class
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (rds).,TXN-10407,RDS Multi-AZ commitment - postgres primary and 2 read replicas
Travel & Transport,0.84,"Description references travel or transport (flight, bus).",TXN-10408,Flight HYD-JFK for New York investor roadshow - 2 pax business
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-10409,Flight MAA-SIN for APAC sales conference - 4 pax economy
Travel & Transport,0.55,Description references travel or transport (flight).,REF-10410,Flight BLR-DEL return - Q3 leadership offsite 1 pax
Travel & Transport,0.95,"Description references travel or transport (cab, bus, airport, travel).",TXN-10411,Airport cab drop - personal vacation travel to Goa non-business
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (s3).,TXN-10412,S3 Glacier archival fees - compliance data retention 7yr policy
Finance & Banking,0.55,Description references financial services or payment processing (razorpay).,PROC-10413,Razorpay settlement reconciliation charges - Q2
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (notion).,TXN-10414,Notion Enterprise annual - knowledge management 150 seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,PROC-10415,Marriott Mumbai - 3 nights executive suite investor roadshow
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10416,CA firm statutory audit fees - FY2025-26
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-10417,Flight DEL-DXB for Dubai partner summit - 3 pax economy class
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-10418,Coursera for Business annual - 50 seat upskilling program
Meals & Catering,0.55,Description references food/catering context (tea).,CLM-10419,Conrad Bengaluru - 3 nights executive team stay
Travel & Transport,0.55,Description references travel or transport (cab).,TXN-10420,Corporate cab account monthly - engineering late-night cabs May
Meals & Catering,0.84,"Description references food/catering context (lunch, tea).",TXN-10421,Team lunch - product sprint retrospective 15 pax
Travel & Transport,0.95,"Description references travel or transport (cab, bus, airport, travel).",TXN-10422,Airport cab drop - personal vacation travel to Goa non-business
Cloud Infrastructure,0.84,"Description references cloud compute/storage terms (cloud, cdn).",TXN-10425,CloudFront CDN data transfer - video streaming Q2 spike
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-10426,Flight BLR-DEL return - Q3 leadership offsite 1 pax
Cloud Infrastructure,0.84,"Description references cloud compute/storage terms (cloud, cdn).",TXN-10427,CloudFront CDN data transfer - video streaming Q2 spike
Travel & Transport,0.84,"Description references travel or transport (flight, bus).",TXN-10428,Flight HYD-JFK for New York investor roadshow - 2 pax business
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-10429,Fivetran Business annual - 25 connector ELT pipeline
Finance & Banking,0.55,Description references financial services or payment processing (gateway).,PROC-10432,Payment gateway monthly transaction processing fees - April cycle
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (adobe).,TXN-10433,Adobe Sign enterprise annual - 500 transaction pack
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (s3).,TXN-10434,S3 storage costs - analytics data lake monthly billing
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10435,Okta Workflows add-on annual - automation tier
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (aws).,TXN-10436,AWS Solutions Architect external training - batch 12 engineers
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10437,Monday.com Standard annual - project management 50 seats
Finance & Banking,0.55,Description references financial services or payment processing (stripe).,TXN-10438,Stripe processing fees - monthly statement April
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-10439,Cloud compute Q4 spot instance burst - ML training workloads
Travel & Transport,0.95,"Description references travel or transport (cab, bus, airport, travel).",EXP-10441,Airport cab drop - personal vacation travel to Goa non-business
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-10442,GitHub Enterprise Cloud annual - 150 developer seats
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-10444,Atlassian Cloud bundle - Jira Software + JSM 500 users
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10445,ServiceNow ITSM Professional annual - 500 user tier
Travel & Transport,0.55,Description references travel or transport (cab).,TXN-10446,Outstation cab DEL-NCR client visit - full day rental
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-10447,Flight BLR-DEL return - Q3 leadership offsite 1 pax
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,TXN-10448,Freshdesk Growth annual - support platform 25 agents
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-10451,Personal Myntra purchase - clothing item non-business
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (slack, subscription).",TXN-10454,Refund - subscription downgrade credit Slack Business to Pro
Meals & Catering,0.84,"Description references food/catering context (dinner, tea).",TXN-10455,All-hands team dinner Q1 wrap-up event 80 pax
Finance & Banking,0.55,Description references financial services or payment processing (gateway).,TXN-10456,Payment gateway monthly transaction processing fees - May cycle
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10458,LinkedIn Campaign Manager - B2B lead gen Q2
SaaS Subscriptions,0.84,"Description references a known SaaS product or subscription term (zoom, license).",TXN-10459,Zoom Events add-on webinar license 1000 attendees - annual
Travel & Transport,0.55,Description references travel or transport (ola).,TXN-10460,ITC Grand Chola Chennai - 4 nights client summit stay
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (server).,TXN-10461,Tableau Desktop + Server annual - 15 creator seats
Hardware & Equipment,0.55,Description references physical hardware or equipment (chair).,TXN-10462,Refund for cancelled office ergonomic chair bulk order - 20 units
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (azure).,TXN-10463,Azure Blob storage - backup and DR repository monthly
Cloud Infrastructure,0.84,"Description references cloud compute/storage terms (cloud, cdn).",TXN-10464,CloudFront CDN data transfer - video streaming Q2 spike
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-10465,GitHub Enterprise Cloud annual - 300 developer seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10467,PR agency retainer - media relations Q1
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (slack, renewal).",TXN-10469,Annual Slack Business+ renewal - 350 seats enterprise
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-10470,Loom Business annual - async video 60 seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10471,Route53 DNS annual - 45 hosted zones enterprise account
Travel & Transport,0.95,"Description references travel or transport (cab, bus, airport, travel).",TXN-10474,Airport cab drop - personal vacation travel to Goa non-business
Finance & Banking,0.55,Description references financial services or payment processing (stripe).,TXN-10475,Stripe processing fees - monthly statement May
Finance & Banking,0.55,Description references financial services or payment processing (gateway).,TXN-10476,Payment gateway monthly transaction processing fees - June cycle
Hardware & Equipment,0.84,"Description references physical hardware or equipment (desk, chair).",TXN-10477,Office furniture - 15 ergonomic chairs and 5 standing desks
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10479,JW Marriott Bengaluru - 2 nights leadership offsite Q2
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10480,SEO agency retainer - 6 months content and technical
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10481,Okta SSO enterprise annual - 500 user pack
Meals & Catering,0.55,Description references food/catering context (dinner).,TXN-10482,Investor roadshow dinner - 6 guests fine dining
Travel & Transport,0.55,Description references travel or transport (airport).,TXN-10484,Ride to airport BLR T2 - early morning investor meeting
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-10485,Flight BOM-CDG for Paris design conference - 1 pax
Meals & Catering,0.84,"Description references food/catering context (lunch, catering).",TXN-10486,Board meeting catering - 10 directors working lunch
Meals & Catering,0.55,Description references food/catering context (catering).,PMT-10487,Catering for Q1 product roadmap planning workshop - 120 pax
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (azure).,TXN-10489,Azure DevOps pipeline minutes - CI/CD build farm overrun
Finance & Banking,0.55,Description references financial services or payment processing (stripe).,TXN-10490,Stripe processing fees - monthly statement May
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10491,Datadog Log Management annual - 50GB per day retention
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (azure).,TXN-10495,Azure Blob storage - backup and DR repository monthly
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10496,GKE autopilot charges - containerised workloads monthly
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (adobe, creative cloud).",TXN-10497,Adobe Creative Cloud All Apps annual - 20 seats
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (subscription).,TXN-10498,HRMS annual subscription - employee self-service 800 users
Travel & Transport,0.55,Description references travel or transport (flight).,TXN-10499,Flight DEL-NRT for Tokyo strategic partnership meeting - 2 pax
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-10500,Loom Business annual - async video 60 seats
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-10501,Office stationery bulk order Q2 - paper pens notebooks
Travel & Transport,0.66,"Description references travel or transport (flight, travel).",TXN-10503,Spouse flight ticket - accompanied personal travel
Personal Expense,0.55,Description contains personal-use indicators (personal).,INV-10504,Personal Airtel mobile recharge - home number
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,TXN-10506,Freshdesk Growth annual - support platform 25 agents
